,Date,approve_mean,disapprove_mean,Issue,approve_std,disapprove_std,approve_CI_upper,approve_CI_lower,disapprove_CI_upper,disapprove_CI_lower
0,2025-01-28,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
1,2025-01-29,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
2,2025-01-30,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
3,2025-01-31,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
4,2025-02-01,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
5,2025-02-02,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
6,2025-02-03,48.25,41.75,inflation,0.0,0.0,48.25,48.25,41.75,41.75
7,2025-02-04,43.816771423179624,45.2965828614563,inflation,1.5851268939000018,1.2681015151200015,46.92362013522363,40.70992271113562,47.782061831091504,42.8111038918211
8,2025-02-05,43.88778813739594,45.23976949008325,inflation,1.6679829072195935,1.3343863257756747,47.15703463554634,40.618541639245535,47.85516668860357,42.62437229156293
9,2025-02-06,43.94941809039253,45.190465527685994,inflation,1.7343312217665534,1.3874649774132426,47.34870728505497,40.55012889573008,47.909896883415946,42.47103417195604
10,2025-02-07,44.003861976871406,45.14691041850287,inflation,1.7891344287628532,1.4313075430102826,47.5105654572466,40.49715849649621,47.95227320280302,42.34154763420272
11,2025-02-08,44.05270960979531,45.10783231216376,inflation,1.8355395205003897,1.468431616400312,47.65036706997607,40.455052149614545,47.98595828030837,42.22970634401915
12,2025-02-09,44.09710489787235,45.07231608170211,inflation,1.8756166402979109,1.5004933122383286,47.773313512856255,40.42089628288844,48.013282973689236,42.13134918971499
13,2025-02-10,44.137880427013556,45.03969565838915,inflation,1.9107774549627736,1.528621963970219,47.88300423874059,40.39275661528652,48.035794707770776,42.04359660900752
14,2025-02-11,43.56343284442189,48.14482446765461,inflation,1.2119917797357627,2.4186946570498233,45.938936732703986,41.18792895613979,52.88546599547226,43.40418293983696
15,2025-02-12,43.586117902989855,48.08190887904453,inflation,1.2520440368609291,2.4578427685973963,46.04012421523728,41.13211159074243,52.89928070549543,43.26453705259364
16,2025-02-13,43.60741103208546,48.02571773090863,inflation,1.2881430489549195,2.4922701174249746,46.1321714080371,41.082650656133815,52.91056716106158,43.140868300755685
17,2025-02-14,43.6274919278642,47.9750180593679,inflation,1.3209691456345145,2.5229576316873015,46.21659145330785,41.03839240242055,52.92001501747501,43.030021101260786
18,2025-02-15,43.646511447220405,47.92885006331276,inflation,1.35104992813929,2.550624613121966,46.29456930637341,40.9984535880674,52.928074305031814,42.9296258215937
19,2025-02-16,43.66459552962017,47.88646190271904,inflation,1.3787995484913258,2.5758085213531463,46.36704264466317,40.96214841457717,52.935046604571205,42.83787720086688
20,2025-02-17,43.681849301667015,47.8472599390498,inflation,1.404547147298647,2.5989182432167612,46.43476171037236,40.928936892961666,52.94113969575465,42.75338018234495
21,2025-02-18,39.29655699306877,49.546961797835046,inflation,5.426942141751363,2.184020239545581,49.933363590901436,28.6597503952361,53.827641467344385,45.266282128325706
22,2025-02-19,39.34082493171016,49.52098054285024,inflation,5.4258826043954596,2.209861102186545,49.97555483632526,28.70609502709506,53.85230830313587,45.18965278256461
23,2025-02-20,41.08277350005948,51.10123467227356,inflation,5.246546896179539,3.097553428217736,51.366005416571376,30.799541583547587,57.172439391580326,45.0300299529668
24,2025-02-21,41.093537602875884,51.070176893404856,inflation,5.241879424788512,3.114335539786525,51.36762127546137,30.8194539302904,57.174274551386446,44.966079235423265
25,2025-02-22,41.10407763532105,51.04130453338605,inflation,5.237665481786507,3.130267398717522,51.369901979622604,30.83825329101949,57.17662863487239,44.90598043189971
26,2025-02-23,41.11438120590461,51.01434381779683,inflation,5.233849581988311,3.1454393084950767,51.3727263866017,30.856036025207516,57.17940486244718,44.84928277314648
27,2025-02-24,41.12444413930209,50.98906277856738,inflation,5.230383532611089,3.15992837525861,51.37599586321983,30.872892415384356,57.182522394074255,44.795603163060505
28,2025-02-25,41.417209032574824,50.910674878732216,inflation,4.542068307488957,2.743600153414734,50.31966291525318,32.514755149896466,56.28813117942509,45.53321857803934
29,2025-02-26,41.42111902667489,50.894458569284836,inflation,4.547766252168037,2.7601766387817657,50.33474088092424,32.50749717242554,56.304404781297094,45.48451235727258
