,Pollster,Net Approval,Net Stdev,Predictive Plus-Minus,Number of Approval Polls Conducted
20,Pew Research Center,-21.9602705265716,0.44333123828210375,0.13222975,4
14,American Research Group,-20.993581463040783,0.2219017282594774,0.8181411,7
32,University of Massachusetts (Amherst),-19.997598239072694,0.17668368232354936,0.53619975,2
11,Quinnipiac University,-17.80231069649551,0.8821072670481956,-0.29048395,8
12,Gallup,-16.43640626591955,1.4171730203166268,-0.096810378,8
19,SSRS,-16.004236533952586,0.14974352816109746,0.96683478,5
4,Ipsos,-14.029424260032998,0.3264621582031016,0.44289753,22
25,SurveyMonkey,-13.99303027030892,0.16682428370101765,1.0475748,3
1,YouGov,-13.633361214355586,1.350942452520053,0.047635015,59
43,The New York Times/Siena College,-12.0,0.0,-0.76394707,1
40,NewsNation,-12.0,0.0,0.61445946,1
33,High Point University,-11.993037282204229,0.14435953016067443,0.41167998,2
8,Global Strategy Group/GBAO (Navigator Research),-11.716010327839385,0.7764427533862882,0.80498767,10
31,Leger,-11.190731465600606,0.7319944704925473,0.3232837,2
36,The Winston Group,-11.027067275560615,0.32792752985405393,-0.13629293,2
39,Public Religion Research Institute,-11.0,0.0,0.10386439,1
37,Targoz Market Research,-10.994005994005994,0.18954711249760528,0.73165476,2
15,AtlasIntel,-10.580505051065302,0.17071016468739364,-0.95774031,6
21,Marquette University Law School,-9.982578803298509,0.1861291893875606,-0.92026073,4
24,Marist College,-9.015491330242249,0.18679977225209055,-0.43661025,3
42,OH Predictive Insights,-9.0,0.0,-0.22588472,1
34,GBAO,-8.999300069993,0.06999300069993002,0.38478789,2
17,Beacon Research/Shaw & Co. Research,-8.00005342440846,0.015220632761358776,-0.635562,5
16,McLaughlin & Associates,-6.988919439179952,0.08153175182545941,1.4121989,6
13,John Zogby Strategies,-6.19883872148955,1.3581321855226827,0.53317785,7
41,The Tyson Group,-6.0,0.0,0.57826144,1
27,Fabrizio Lee & Associates/Impact Research,-5.999761579436294,0.01940383915012686,0.58829069,3
35,Blueprint Polling,-5.185800233697965,1.8460979313308077,0.32879567,2
26,Civiqs,-5.130943839121727,0.5017984912517751,0.15856202,3
28,Hart Research Associates/Public Opinion Strategies,-5.000357757256249,0.027397203925255572,-0.2509338,3
47,North Star Opinion Research,-5.0,0.0,0.043338995,1
18,Clarity Campaign Labs,-4.9470156817976605,0.322894548232877,0.22870669,5
2,Morning Consult,-4.794061184064029,0.6872412282327914,0.58499432,41
7,Echelon Insights,-4.285276280734825,1.0286532400476345,-0.21667188,10
23,Cygnal,-4.040251365201244,0.7260845087362437,-0.74733943,3
6,TIPP Insights,-3.670532321859562,0.9544000702949279,-0.57137179,11
10,Emerson College,-2.4793363573756007,0.40473629404963823,-0.56915331,8
0,Rasmussen Reports,-2.097265552503318,1.3522287650211013,0.087015256,163
9,Harris Insights & Analytics,-2.0083464360213488,0.1404322800880103,0.16244708,9
29,co/efficient,-1.9921635379279756,0.17651874123730554,-0.2090032,3
38,Wick,-1.918874310302064,0.03912836809079076,0.15507598,2
44,American Pulse Research & Polling,0.7999992,0.0,0.8004629,1
48,OnMessage Inc.,1.0,0.0,-0.60024923,1
3,RMG Research,1.530755415046321,1.1612462932363574,0.27802283,32
45,Public Opinion Strategies,2.0,0.0,-0.24697377,1
46,Remington Research Group,2.0,0.0,0.32252276,1
50,Research Co.,4.0,0.0,0.63225824,1
49,SurveyUSA,6.0,0.0,-0.73243296,1
5,J.L. Partners,7.362088387315993,2.4960501645865625,0.19791092,14
30,Trafalgar Group,9.55864935239287,0.70562960231586,-0.21543878,2
22,InsiderAdvantage,10.398953179480028,0.011359432977943703,0.034562007,4
