,Date,approve_mean,disapprove_mean,Issue,approve_std,disapprove_std,approve_CI_upper,approve_CI_lower,disapprove_CI_upper,disapprove_CI_lower
0,2025-01-28,48.551213127352156,37.79560667278612,economy,4.079374344436511,1.4426213840731472,56.546786842447716,40.555639412256596,40.62314458556949,34.96806876000275
1,2025-01-29,48.54243713601474,37.79250314962282,economy,4.083092960832174,1.4439364277731368,56.5452993392458,40.53957493278368,40.62261854805816,34.96238775118747
2,2025-01-30,48.53578655261654,37.79015125126372,economy,4.085896177474066,1.4449277514248375,56.544143060465714,40.52743004476737,40.622209644056404,34.95809285847104
3,2025-01-31,48.530724777897014,37.788361215872214,economy,4.088021172939266,1.4456792303626154,56.54324627685797,40.518203278936056,40.62189250738294,34.95482992436149
4,2025-02-01,48.526889365415286,37.787004868649404,economy,4.089626419051637,1.4462469062297654,56.542557146756494,40.51122158407408,40.621648804859745,34.95236093243906
5,2025-02-02,48.524027110211236,37.78599266672445,economy,4.090821613333207,1.4466695722278167,56.54203747234432,40.50601674807815,40.62146502829097,34.95052030515792
6,2025-02-03,48.52195617776984,37.785260306520975,economy,4.091684908208625,1.4469748660162467,56.54165859785874,40.50225375768093,40.62133104391282,34.94918956912913
7,2025-02-04,47.86236689289186,40.356890683755665,economy,2.911098764814868,2.676714839412551,53.56812047192901,42.15661331385472,45.60325176900427,35.110529598507064
8,2025-02-05,47.862039700340894,40.35641203640138,economy,2.9114402052503845,2.676925079574067,53.56846250263165,42.15561689805014,45.60318519236655,35.10963888043621
9,2025-02-06,47.86189673781035,40.35620289766395,economy,2.911589369096483,2.6770169092292773,53.56861190123946,42.15518157438124,45.60315603975333,35.10924975557457
10,2025-02-07,47.861915694940144,40.35623062989683,economy,2.911569590502482,2.6770047335462124,53.568592092325005,42.15523929755528,45.6031599076474,35.109301352146254
11,2025-02-08,47.86207917892677,40.356469789307525,economy,2.911399011610092,2.6768997177127214,53.56842124168255,42.15573711617099,45.60319323602446,35.10974634259059
12,2025-02-09,47.862373530906495,40.35690039445395,economy,2.911091836947015,2.676710573046992,53.568113531322645,42.156633530490346,45.60325311762605,35.11054767128185
