,president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
6,Donald Trump (2nd term),Voters,InsiderAdvantage,,12/19/2025,12/20/2025,800.0, LV,1.086069,1.024065,,49.5,41.1,8.400002,46.36094,44.56825,1.79269,https://insideradvantage.com/national-trump-approval-top-line-tabs/,12/20/2025,16:00:44 28 Dec 2025
9,Donald Trump (2nd term),Voters,YouGov,Economist,12/20/2025,12/22/2025,1425.0, RV,0.9393505,0.9393505,,42.0,56.0,-14.0,42.5367,55.0141,-12.4774,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nBgFw7w.pdf,12/22/2025,16:00:44 28 Dec 2025
11,Donald Trump (2nd term),Voters,Emerson College,,12/14/2025,12/15/2025,1000.0, RV,1.375719,0.9033203,,40.8,50.3,-9.5,40.84813,52.83953,-11.9914,https://emersoncollegepolling.com/december-2025-national-poll-trumps-approval-flips-since-start-of-the-year/,12/15/2025,16:00:44 28 Dec 2025
15,Donald Trump (2nd term),Voters,Beacon Research/Shaw & Co. Research,FOX News,12/12/2025,12/15/2025,1001.0, RV,1.409894,0.8466499,,44.0,56.0,-12.0,43.80295,54.90228,-11.09933,https://www.foxnews.com/politics/fox-news-poll-prices-pinch-voters-see-trump-focused-elsewhere,12/15/2025,16:00:44 28 Dec 2025
25,Donald Trump (2nd term),Voters,Rasmussen Reports,,12/17/2025,12/23/2025,1500.0, LV,0.8476479,0.7963571,True,45.0,54.0,-9.0,42.22063,55.60864,-13.38801,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/23/2025,16:00:44 28 Dec 2025
27,Donald Trump (2nd term),Voters,American Research Group,,12/17/2025,12/20/2025,999.0, RV,0.8880978,0.7867558,,35.0,62.0,-27.0,38.25326,58.97867,-20.72541,https://americanresearchgroup.com/economy/,12/20/2025,16:00:44 28 Dec 2025
39,Donald Trump (2nd term),Voters,Quinnipiac University,,12/11/2025,12/15/2025,1035.0, RV,1.298924,0.7073554,,40.0,54.0,-14.0,42.83876,53.03015,-10.19139,https://poll.qu.edu/poll-release?releaseid=3943,12/15/2025,16:00:44 28 Dec 2025
41,Donald Trump (2nd term),Voters,Morning Consult,,12/19/2025,12/21/2025,2203.0, RV,0.7529879,0.7068895,,45.0,52.0,-7.0,44.13614,52.38465,-8.248512,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,12/21/2025,16:00:44 28 Dec 2025
47,Donald Trump (2nd term),Voters,Susquehanna Polling & Research Inc.,,12/9/2025,12/17/2025,, RV,1.263808,0.6882319,,38.0,56.0,-18.0,39.43877,55.38149,-15.94272,https://www.youtube.com/watch?app=desktop&v=-DG-SOfYlo4,12/17/2025,16:00:44 28 Dec 2025
53,Donald Trump (2nd term),Voters,Echelon Insights,,12/11/2025,12/15/2025,1011.0, LV,1.250305,0.6787063,,45.0,55.0,-10.0,44.44462,54.81236,-10.36774,https://echelonin.wpenginepowered.com/wp-content/uploads/December-2025-Omnibus-Topline-External.pdf,12/15/2025,16:00:44 28 Dec 2025
