,Date,approve_mean,disapprove_mean,Issue,approve_std,disapprove_std,approve_CI_upper,approve_CI_lower,disapprove_CI_upper,disapprove_CI_lower
0,2025-01-21,46.3873685,37.6126315,immigration,0.0,0.0,46.3873685,46.3873685,37.6126315,37.6126315
1,2025-01-22,46.3873685,37.6126315,immigration,0.0,0.0,46.3873685,46.3873685,37.6126315,37.6126315
2,2025-01-23,49.487620101306014,48.241335493761845,immigration,1.260930074630756,4.3228918951083175,51.9590430475823,47.01619715502973,56.714203608174145,39.768467379349545
3,2025-01-24,49.48751677596841,48.240981259793244,immigration,1.2610360768915643,4.323255306468971,51.959147486675874,47.01588606526094,56.71456166047243,39.76740085911406
4,2025-01-25,49.48741658019524,48.240637755022846,immigration,1.2611388519142779,4.323607653773272,51.95924872994722,47.015584430443255,56.71490875641846,39.76636675362723
5,2025-01-26,49.48732028159054,48.24030761105519,immigration,1.2612376140532138,4.323946243563888,51.95934600513484,47.01529455804624,56.715242248440404,39.76537297366997
6,2025-01-27,48.82012267887116,47.487157974143855,immigration,1.4661591387175341,3.7950714076010397,51.69379459075753,45.94645076698479,54.925497933041896,40.048818015245814
7,2025-01-28,48.820287161785444,47.4872053735727,immigration,1.4661717526495983,3.795486956143395,51.69398379697866,45.94659052659223,54.92635980761375,40.04805093953165
8,2025-01-29,48.82044688042191,47.48725810939784,immigration,1.4661829069340533,3.795877923402903,51.694165378012656,45.94672838283117,54.92717883926753,40.04733737952815
9,2025-01-30,48.82060066297717,47.487316652363596,immigration,1.4661923839037423,3.7962398509582727,51.694337735428505,45.94686359052584,54.92794676024181,40.04668654448538
10,2025-01-31,48.82074722283224,47.487381511314815,immigration,1.4661999461356279,3.7965678588479532,51.69449911725807,45.94699532840641,54.928654514656806,40.046108507972825
11,2025-02-01,48.820885149252014,47.48745323659367,immigration,1.4662053347665125,3.796856610545561,51.69464760539438,45.94712269310965,54.929292193262974,40.04561427992437
12,2025-02-02,48.821012897131254,47.48753242385202,immigration,1.466208267608651,3.797100274128806,51.69478110164421,45.9472446926183,54.92984896114447,40.04521588655956
13,2025-02-03,48.82112877562751,47.48761971834759,immigration,1.4662084370296242,3.7972924789950153,51.69489731220557,45.947360239049445,54.93031297717782,40.044926459517356
14,2025-02-04,49.34055848444051,45.833018297028005,immigration,1.6375050411418464,4.626160925733078,52.55006836507852,46.13104860380249,54.90029371146484,36.76574288259117
15,2025-02-05,49.34024471553549,45.83431763240795,immigration,1.6374201645162432,4.6258971322352815,52.54958823798733,46.13090119308365,54.901076011589105,36.7675592532268
16,2025-02-06,49.339958077114574,45.83549382266149,immigration,1.63734333254853,4.625624400510522,52.54915100890969,46.13076514531946,54.90171764766211,36.76926999766087
17,2025-02-07,49.33970286093442,45.83652780325125,immigration,1.6372758147514623,4.625342682836525,52.548763457847286,46.13064226402156,54.90219946161084,36.77085614489166
18,2025-02-08,49.3394837647772,45.83739870922445,immigration,1.637219000202111,4.625051932851356,52.54843300517334,46.13053452438106,54.90250049761311,36.77229692083579
19,2025-02-09,49.33930593179433,45.83808370014527,immigration,1.637174408350867,4.624752098547617,52.548167772162024,46.13044409142663,54.9025978132986,36.77356958699194
20,2025-02-10,49.33917499544507,45.83855776008542,immigration,1.6371437011872394,4.624443112957996,52.54797664977206,46.13037334111808,54.90246626148309,36.77464925868775
21,2025-02-11,49.339097131122415,45.83879346780856,immigration,1.637128697007856,4.624124881976372,52.54786937725781,46.13032488498702,54.90207823648225,36.77550869913487
22,2025-02-12,49.33907911579638,45.83876073122663,immigration,1.6371313860824352,4.623797268619586,52.547856632517956,46.130301599074805,54.90140337772102,36.77611808473224
23,2025-02-13,51.469392559862555,44.77028739529984,immigration,3.031959067745161,3.9016750308938772,57.41203233264307,45.52675278708204,52.41757045585184,37.12300433474784
24,2025-02-14,51.4689991253655,44.77010440925611,immigration,3.0318474215371802,3.9015105360746403,57.41142007157837,45.52657817915263,52.41706505996241,37.123143758549816
25,2025-02-15,51.469064004408665,44.769482195812,immigration,3.0317691370260573,3.9010959690666125,57.411331512979736,45.526796495837594,52.41563029518257,37.12333409644144
26,2025-02-16,48.71886375953638,47.85111691123808,immigration,3.871535147309683,4.571172917590054,56.30707264826336,41.13065487080941,56.810615829714585,38.891617992761574
27,2025-02-17,48.14805055648985,48.05605719947191,immigration,3.5462043764512976,4.021087057703601,55.09861113433439,41.19748997864531,55.93738783257096,40.174726566372854
28,2025-02-18,50.05967431918835,46.20584437130769,immigration,3.854489026296003,3.5773740395202824,57.61447281072852,42.504875827648185,53.21749748876744,39.19419125384794
29,2025-02-19,50.05985392402185,46.20557910091083,immigration,3.8548193014022827,3.577243458935451,57.61529975477033,42.504408093273376,53.21697628042432,39.194181921397345
30,2025-02-20,51.08430616345329,45.81396793395164,immigration,4.181500511234008,3.3729775035369345,59.28004716547195,42.888565161434634,52.42500384088403,39.202932027019244
31,2025-02-21,51.084580577578045,45.81363902052427,immigration,4.181871871394726,3.37265187162369,59.28104944551171,42.88811170964438,52.4240366889067,39.20324135214184
32,2025-02-22,51.08502970641809,45.81320829076872,immigration,4.182352348626526,3.372194363588482,59.282440309726084,42.8876191031101,52.422709243402146,39.203707338135295
33,2025-02-23,51.08567392039451,45.81266446019677,immigration,4.182953878369489,3.371589925451675,59.28426352199871,42.887084318790315,52.420980714082056,39.20434820631149
34,2025-02-24,51.08653549680082,45.811995195870985,immigration,4.183689457452572,3.3708220610119177,59.28656683340786,42.88650416019378,52.41880643545434,39.20518395628763
