,Date,net,net_std,net_upper_CI,net_lower_CI
0,2025-01-20,3.0794218648023017,2.31471723062791,7.616267636833006,-1.457423907228402
1,2025-01-21,3.079183459109266,2.315146598459642,7.616870792090165,-1.4585038738716327
2,2025-01-22,3.078965887537804,2.315674810879539,7.617688516861701,-1.459756741786093
3,2025-01-23,3.0787715821414174,2.316310321026947,7.618739811354233,-1.4611966470713984
4,2025-01-24,3.078603161848223,2.3170622024501544,7.620045078650525,-1.4628387549540793
5,2025-01-25,3.0784634483708464,2.317940201933699,7.621626244160897,-1.464699347419204
6,2025-01-26,3.0783554840672505,2.318954798556341,7.623506889237678,-1.4667959211031771
7,2025-01-27,3.076268703648219,2.1825117207047233,7.353991676229477,-1.201454268933039
8,2025-01-28,3.0762374279786417,2.183693779545863,7.356277235888533,-1.2038023799312496
9,2025-01-29,3.07624331887639,2.1850128419118477,7.358868489023611,-1.206381851270831
10,2025-01-30,3.0762900085728617,2.1864797820795445,7.361790381448769,-1.2092103643030452
11,2025-01-31,3.076381429974589,2.1881063442305937,7.365069864666553,-1.212307004717375
12,2025-02-01,1.9539449630374004,2.2889439818650668,6.440275167492931,-2.53238524141813
13,2025-02-02,1.9532573577245511,2.29008136794793,6.441816838902494,-2.535302123453392
14,2025-02-03,1.952404268484571,2.2913258949631787,6.443403022612402,-2.5385944856432596
15,2025-02-04,1.9513709014635459,2.2926855642398145,6.445034607373582,-2.54229280444649
16,2025-02-05,1.1192638504454262,1.7412326016627777,4.5320797497044705,-2.293552048813618
17,2025-02-06,0.7313577680692673,1.7743841970692886,4.2091507943250726,-2.7464352581865383
18,2025-02-07,0.7300652731095678,1.7742398446845686,4.207575368691322,-2.747444822472187
19,2025-02-08,0.7285510717025798,1.7739981274751717,4.205587401553917,-2.7484852581487567
20,2025-02-09,0.7267965331595764,1.7736494662531606,4.2031494870157715,-2.7495564206966185
21,2025-02-10,0.7268670807101153,1.7738932469021134,4.203697844638257,-2.7499636832180268
22,2025-02-11,0.7268622801728923,1.7740811831611452,4.204061399168737,-2.7503368388229523
23,2025-02-12,0.7267749552133378,1.7742075845456164,4.204221820922746,-2.75067191049607
24,2025-02-13,0.7949048130835039,1.5412732610636635,3.815800404768284,-2.2259907786012763
25,2025-02-14,0.7946828497743296,1.5413240922175027,3.815678070520635,-2.226312370971976
26,2025-02-15,0.794325065582099,1.5412438170258889,3.815162946952841,-2.226512815788643
27,2025-02-16,0.7938787102249382,1.5410682983056536,3.814372574904019,-2.2266151544541426
28,2025-02-17,0.7933362524713682,1.5407887208443634,3.8132821453263204,-2.2266096403835838
29,2025-02-18,0.9919413264957049,1.526931166869588,3.984726413560097,-2.0008437605686873
30,2025-02-19,0.9912241234253663,1.5265717488818917,3.983304751233874,-2.0008565043831417
31,2025-02-20,0.9904176224931124,1.526105807830709,3.981585005841302,-2.000749760855077
32,2025-02-21,1.1746544251629076,1.4589297624621569,4.034156759588735,-1.6848479092629198
33,2025-02-22,1.17377341090077,1.4584323259346768,4.032300769732736,-1.6847539479311964
34,2025-02-23,1.1728166541792118,1.4578189921275926,4.030141878749293,-1.6845085703908698
35,2025-02-24,1.171778752527523,1.4570796209895343,4.02765480966701,-1.6840973046119643
36,2025-02-25,1.1706539056208705,1.456203258076075,4.024812291449978,-1.6835044802082368
37,2025-02-26,1.1694358781154,1.4551780522414122,4.021584860508568,-1.6827131042777679
38,2025-02-27,1.1681179578240293,1.453991161956641,4.017940635259046,-1.6817047196109869
39,2025-02-28,1.1666929085260698,1.4526286483408717,4.013845059274178,-1.6804592422220388
40,2025-03-01,1.1651529165818297,1.4510753526222941,4.009260607721526,-1.6789547745578666
41,2025-03-02,-0.5315877533803032,1.9377265089015152,3.2663562040666667,-4.329531710827273
42,2025-03-03,-1.616610630488454,2.3736609461846676,3.0357648240334942,-6.268986085010402
43,2025-03-04,-1.6178600661124416,2.3721866778415306,3.031625822456958,-6.267345954681842
44,2025-03-05,-1.7397336888842094,2.060753195385294,2.299342574070966,-5.778809951839385
45,2025-03-06,-1.7411505631511475,2.0590017516612105,2.2944928701048255,-5.77679399640712
46,2025-03-07,-1.74283915065701,2.0570106110557402,2.2889016470122407,-5.774579948326261
47,2025-03-08,-1.7448222799488913,2.0547594904228403,2.2825063212798757,-5.772150881177659
48,2025-03-09,-1.7744365263397932,1.9398226352051036,2.02761583866221,-5.576488891341796
49,2025-03-10,-1.776803080971576,1.9370888023928818,2.019890971718472,-5.573497133661625
50,2025-03-11,-1.4801589055401623,1.7182584866631982,1.887627728319706,-4.847945539400031
51,2025-03-12,-1.482330201720114,1.7158058192668846,1.8806492040429794,-4.845309607483207
52,2025-03-13,-1.21290524785964,1.7930724324691862,2.301516719779965,-4.727327215499245
53,2025-03-14,-1.2143235699308959,1.7912923341922933,2.2966094050859986,-4.725256544947791
54,2025-03-15,-1.2158872862174648,1.789321127929141,2.2911821245236514,-4.7229566969585814
55,2025-03-16,-1.2176071401272162,1.7871437594172719,2.2851946283306366,-4.720408908585069
56,2025-03-17,-1.2194946277635217,1.7847439652969925,2.2786035442185835,-4.717592799745627
57,2025-03-18,-1.2205092556011736,1.784458162997215,2.277028743873368,-4.718047255075715
58,2025-03-19,-1.1461348023821623,1.7530030020371434,2.289751081610639,-4.582020686374963
59,2025-03-20,-1.1472792884701386,1.752740210603174,2.2880915243120823,-4.5826501012523595
60,2025-03-21,-1.1485133997024368,1.752452720189227,2.2862939318684483,-4.5833207312733215
61,2025-03-22,-1.14984335265137,1.7521385867867123,2.284348277450586,-4.584034982753327
