end_date,approve,disapprove,net,approve_std,disapprove_std,net_std,approve_lower_ci,approve_upper_ci,disapprove_lower_ci,disapprove_upper_ci,net_lower_ci,net_upper_ci
2021-01-21,49.067012352884944,31.23161292702117,17.835399425863777,3.8712527773353016,4.949357726846907,6.868438642665027,41.479356909307754,56.654667796462135,21.530871782401235,40.93235407164111,4.373259686240324,31.29753916548723
2021-01-22,50.38600931801325,31.478778241414673,18.907231076598574,4.828851089213384,4.691842337714426,6.365708544307766,40.92146118315502,59.850557452871485,22.2827672594944,40.67478922333495,6.430442329755353,31.384019823441797
2021-01-23,51.27629187883857,31.26788216731543,20.008409711523143,4.777421415504062,4.177617584676675,6.139863953228727,41.91254590445061,60.64003785322653,23.07975170134915,39.456012633281716,7.9742763631948375,32.04254305985145
2021-01-24,51.722673069040525,30.88102110048468,20.84165196855584,4.434394278771695,3.885402444083066,5.883895404803077,43.031260282648006,60.414085855433044,23.26563231008187,38.49640989088749,9.30921697514181,32.37408696196987
2021-01-25,52.38892467202532,31.375112103032727,21.013812568992595,4.070624916571561,3.523368943171593,5.298525508717523,44.41049983554506,60.367349508505576,24.469308974416407,38.28091523164905,10.628702571906251,31.398922566078937
2021-01-26,52.22804945311512,32.27342014239143,19.954629310723693,3.7618328149384475,4.244499834328698,6.477504001400999,44.854857135835765,59.60124177039447,23.95420046710718,40.592639817675675,7.258721467977734,32.65053715346965
2021-01-27,51.757542377817636,32.894162605532834,18.8633797722848,3.667579966109046,4.506366596080047,6.854247904779261,44.569085644243906,58.945999111391366,24.061684077215943,41.726641133849725,5.4290538789174505,32.29770566565215
2021-01-28,51.874376082363646,33.16276287451087,18.71161320785278,3.567159555417539,4.396556936998703,6.727719622603393,44.88274335374527,58.866008810982024,24.545511277993413,41.78001447102832,5.525282747550127,31.897943668155428
2021-01-29,52.210743793588755,33.366004429332186,18.844739364256572,3.3680107914814403,4.076316707833959,6.0806491223490085,45.60944264228513,58.81204494489238,25.376423681977627,41.355585176686745,6.926667084452516,30.762811644060626
2021-01-30,52.52264291284538,33.48056578942881,19.042077123416572,3.362756257532002,3.8546062681252047,5.821268900422703,45.931640648082656,59.1136451776081,25.925537503903406,41.03559407495421,7.632390078588074,30.45176416824507
2021-01-31,52.871956212733785,33.85543352994659,19.016522682787198,3.258132666796837,3.699285013429967,5.3950395585182465,46.486016185811984,59.25789623965559,26.604834903623853,41.10603215626932,8.442245148091434,29.59080021748296
2021-02-01,53.09020338373515,34.00716374364387,19.083039640091275,3.179823470699091,3.3345832061293623,5.037055958223453,46.857749381164936,59.322657386305366,27.47138065963032,40.542946827657424,9.210409961973308,28.955669318209242
2021-02-02,52.90765214375288,34.41464864264955,18.493003501103324,3.3547896406121627,3.4333479591831244,5.503127869265333,46.33226444815304,59.48303983935271,27.68528664265063,41.144010642648475,7.706872877343272,29.279134124863376
2021-02-03,52.772180368388675,35.16400454390095,17.608175824487727,3.305978050261232,4.015429948771129,6.175934721610153,46.29246338987666,59.25189734690069,27.293761844309536,43.034247243492366,5.503343770131828,29.713007878843626
2021-02-04,52.644189725326804,35.35378086510101,17.290408860225796,3.350909685248876,4.139252910763335,6.424829436095087,46.07640674223901,59.2119727084146,27.240845160004874,43.46671657019714,4.697743165479425,29.88307455497217
2021-02-05,52.64516683529762,35.350259888531305,17.29490694676632,3.3115174390557747,4.088743260904552,6.349454811041377,46.154592654748306,59.13574101584694,27.336323097158385,43.364196679904225,4.849975517125223,29.73983837640742
2021-02-06,52.87381092421621,35.17039113603683,17.70341978817938,3.424064011082632,4.064114677928734,6.5027386983872555,46.16264546249425,59.58497638593817,27.20472636729651,43.136055904777145,4.958051939340361,30.448787637018402
2021-02-07,52.96268546235694,35.11553701567991,17.84714844667702,3.387914121909014,3.9895888176872543,6.41691921944719,46.32237378341527,59.6029971412986,27.295942933012896,42.93513109834693,5.269986776560529,30.424310116793514
2021-02-08,53.604435893596616,35.32164644623401,18.282789447362607,3.7684794637447494,3.8786703619171665,6.205973454820404,46.21821614465691,60.990655642536325,27.719452536876368,42.92384035559166,6.119081475914616,30.446497418810598
