end_date,dem,rep,net,dem_std,rep_std,net_std,dem_lower_ci,dem_upper_ci,rep_lower_ci,rep_upper_ci,net_lower_ci,net_upper_ci
2018-11-14,50.50323532521011,41.62739553246057,-8.875839792749545,0,0,0,50.50323532521011,50.50323532521011,41.62739553246057,41.62739553246057,-8.875839792749545,-8.875839792749545
2018-11-15,49.98405653036422,42.14657432730645,-7.837482203057769,0.49963203843254417,0.4996320384325442,0.9992640768650884,49.004777735036434,50.96333532569201,41.16729553197867,43.12585312263424,-9.796039793713343,-5.878924612402196
2018-11-16,49.81133626352638,41.960075273144334,-7.851260990382045,0.4617085120775923,0.471172930910032,0.8001103433116088,48.9063875798543,50.71628494719846,41.03657632856067,42.883574217728,-9.419477263272798,-6.283044717491292
2018-11-17,49.811336263526385,41.96007527314434,-7.851260990382045,0.4617085120775923,0.471172930910032,0.8001103433116088,48.906387579854304,50.71628494719847,41.03657632856068,42.883574217728004,-9.419477263272798,-6.283044717491292
2018-11-18,49.811336263526385,41.96007527314434,-7.851260990382045,0.4617085120775923,0.471172930910032,0.8001103433116089,48.906387579854304,50.71628494719847,41.03657632856068,42.883574217728004,-9.419477263272798,-6.283044717491292
2018-11-19,49.81133626352638,41.960075273144334,-7.851260990382045,0.4617085120775923,0.471172930910032,0.8001103433116088,48.9063875798543,50.71628494719846,41.03657632856067,42.883574217728,-9.419477263272798,-6.283044717491292
2018-11-20,49.811336263526385,41.96007527314434,-7.851260990382045,0.4617085120775923,0.471172930910032,0.8001103433116088,48.906387579854304,50.71628494719847,41.03657632856068,42.883574217728004,-9.419477263272798,-6.283044717491292
2018-11-21,49.7049695183673,42.190456538291045,-7.514512980076259,0.40129478998412393,0.4960073684368506,0.79639069145176,48.91843172999842,50.49150730673618,41.218282096154816,43.162630980427274,-9.07543873532171,-5.95358722483081
2018-11-22,49.37864072041395,42.037558316493474,-7.341082403920472,0.6348055196406212,0.4918630649146997,0.7366811945720695,48.13442190191833,50.622859538909566,41.07350670926066,43.001609923726285,-8.784977545281729,-5.897187262559216
2018-11-23,49.40689018038346,41.9445616962347,-7.462328484148764,0.5606533048990645,0.4653727412848022,0.6854116111208729,48.3080097027813,50.50577065798563,41.032431123316485,42.856692269152916,-8.805735241945674,-6.118921726351854
2018-11-24,49.406890180383456,41.9445616962347,-7.462328484148764,0.5606533048990645,0.4653727412848022,0.6854116111208729,48.30800970278129,50.50577065798562,41.032431123316485,42.856692269152916,-8.805735241945674,-6.118921726351854
2018-11-25,49.40689018038346,41.9445616962347,-7.462328484148765,0.5606533048990645,0.46537274128480227,0.6854116111208729,48.3080097027813,50.50577065798563,41.032431123316485,42.856692269152916,-8.805735241945676,-6.118921726351854
2018-11-26,49.406890180383456,41.9445616962347,-7.462328484148764,0.5606533048990645,0.4653727412848022,0.6854116111208728,48.30800970278129,50.50577065798562,41.032431123316485,42.856692269152916,-8.805735241945674,-6.118921726351854
2018-11-27,49.40689018038347,41.9445616962347,-7.462328484148765,0.5606533048990645,0.4653727412848022,0.6854116111208729,48.308009702781305,50.505770657985636,41.032431123316485,42.856692269152916,-8.805735241945676,-6.118921726351854
2018-11-28,49.181249908263155,41.865366128267965,-7.315883779995188,0.623563634806756,0.42584103998847894,0.6456981299086753,47.95906518404191,50.4034346324844,41.030717689890544,42.700014566645386,-8.58145211461619,-6.050315445374185
2018-11-29,49.02954905195184,41.81212192959847,-7.217427122353376,0.6177989896326842,0.38807545057417314,0.5977235394930992,47.81866303227178,50.2404350716319,41.05149404647309,42.57274981272385,-8.38896525975985,-6.0458889849469015
2018-11-30,48.92277863207691,42.183174411597804,-6.739604220479114,0.5907977176164062,0.8095774477969238,1.08457378781066,47.764815105548756,50.08074215860507,40.596402613915835,43.76994620927977,-8.865368844588009,-4.61383959637022
2018-12-01,48.92277863207692,42.183174411597804,-6.739604220479115,0.5907977176164062,0.8095774477969239,1.08457378781066,47.76481510554876,50.08074215860508,40.596402613915835,43.76994620927977,-8.865368844588009,-4.613839596370221
2018-12-02,48.58742872174018,42.04659227093884,-6.540836450801348,0.7308731307651111,0.718806518624019,0.970845406672892,47.15491738544056,50.0199400580398,40.63773149443576,43.455453047441914,-8.443693447880216,-4.63797945372248
2018-12-03,48.58742872174018,42.04659227093883,-6.540836450801347,0.730873130765111,0.718806518624019,0.970845406672892,47.15491738544056,50.0199400580398,40.637731494435755,43.45545304744191,-8.443693447880214,-4.637979453722479
2018-12-04,48.58742872174018,42.04659227093884,-6.540836450801347,0.7308731307651111,0.718806518624019,0.970845406672892,47.15491738544056,50.0199400580398,40.63773149443576,43.455453047441914,-8.443693447880214,-4.637979453722479
