end_date,dem,rep,net,dem_std,rep_std,net_std,dem_lower_ci,dem_upper_ci,rep_lower_ci,rep_upper_ci,net_lower_ci,net_upper_ci
2025-07-04,46.3746636579941,44.22321074326295,-2.1514529147311396,1.729281438198937,2.184669153493413,1.8689806931456805,42.98527203912418,49.76405527686401,39.941259202415864,48.50516228411004,-5.814655073296674,1.511749243834394
2025-07-05,46.37466365799409,44.22321074326295,-2.1514529147311396,1.729281438198937,2.184669153493413,1.8689806931456805,42.985272039124176,49.764055276864006,39.941259202415864,48.50516228411004,-5.814655073296674,1.511749243834394
2025-07-06,46.40869780954729,44.13759546899122,-2.27110234055607,1.6162001485381328,2.046755362519557,1.7649676682410504,43.24094551841255,49.57645010068203,40.125954958452894,48.14923597952955,-5.730438970308528,1.1882342891963886
2025-07-07,46.36757452880544,44.00033830518258,-2.367236223622861,1.5424682929965934,1.9991676298980916,1.7070367899197816,43.344336674532116,49.39081238307877,40.081969750582324,47.91870685978284,-5.713028331865633,0.9785558846199112
2025-07-08,46.36757452880544,44.00033830518258,-2.367236223622861,1.5424682929965934,1.9991676298980916,1.7070367899197816,43.344336674532116,49.39081238307877,40.081969750582324,47.91870685978284,-5.713028331865633,0.9785558846199112
2025-07-09,46.36757452880544,44.00033830518258,-2.3672362236228612,1.5424682929965934,1.9991676298980916,1.7070367899197816,43.344336674532116,49.39081238307877,40.081969750582324,47.91870685978284,-5.713028331865633,0.9785558846199107
2025-07-10,46.36757452880544,44.00033830518258,-2.3672362236228612,1.5424682929965934,1.9991676298980914,1.7070367899197816,43.344336674532116,49.39081238307877,40.081969750582324,47.91870685978284,-5.713028331865633,0.9785558846199107
2025-07-11,46.36757452880544,44.00033830518258,-2.3672362236228612,1.5424682929965934,1.9991676298980916,1.7070367899197816,43.344336674532116,49.39081238307877,40.081969750582324,47.91870685978284,-5.713028331865633,0.9785558846199107
2025-07-12,46.36757452880544,44.00033830518258,-2.3672362236228612,1.5424682929965934,1.9991676298980916,1.7070367899197816,43.344336674532116,49.39081238307877,40.081969750582324,47.91870685978284,-5.713028331865633,0.9785558846199107
2025-07-13,46.60512442603916,43.934675826153864,-2.6704485998852947,1.4934854746771857,1.8274924674436643,1.6803027770192966,43.677892895671874,49.53235595640645,40.35279058996428,47.51656106234345,-5.963842042843116,0.6229448430725268
2025-07-14,46.41173595333522,44.11216549421486,-2.299570459120363,1.306148099210642,1.9162444724010208,1.9120693979176562,43.85168567888236,48.97178622778807,40.35632632830885,47.86800466012086,-6.047226479038969,1.4480855607982428
2025-07-15,46.411735953335224,44.112165494214864,-2.2995704591203636,1.3061480992106422,1.916244472401021,1.9120693979176564,43.85168567888237,48.97178622778808,40.35632632830886,47.86800466012087,-6.0472264790389705,1.4480855607982428
2025-07-16,46.49335417425573,44.688100146513385,-1.8052540277423457,1.1078528032299424,2.052206289213872,2.027054749207752,44.32196267992504,48.66474566858641,40.66577581965419,48.710424473372576,-5.778281336189539,2.167773280704848
2025-07-17,46.49335417425573,44.68810014651338,-1.8052540277423454,1.1078528032299424,2.0522062892138715,2.0270547492077515,44.32196267992504,48.66474566858641,40.665775819654186,48.71042447337257,-5.778281336189538,2.1677732807048473
2025-07-18,46.64536536774786,44.74217633778037,-1.9031890299674843,1.015278403092573,1.8091627909902122,1.7937620443591114,44.65541969768641,48.6353110378093,41.19621726743956,48.288135408121185,-5.418962636911342,1.6125845769763738
2025-07-19,46.64536536774786,44.74217633778037,-1.9031890299674845,1.015278403092573,1.8091627909902124,1.7937620443591114,44.65541969768641,48.6353110378093,41.19621726743956,48.288135408121185,-5.418962636911343,1.6125845769763736
2025-07-20,46.67581354594238,44.64797398532147,-2.027839560620911,0.9615701349167786,1.7161530684531416,1.6911407156313931,44.7911360815055,48.560491010379266,41.28431397115331,48.01163399948963,-5.342475363258442,1.2867962420166195
2025-07-21,46.718286403538684,44.58924944002414,-2.1290369635145394,0.9299680823989743,1.6507219402801705,1.6595522593284642,44.89554896203669,48.54102384504068,41.35383443707501,47.82466444297327,-5.3817593917983295,1.1236854647692502
2025-07-22,46.45991031923281,44.49248980134204,-1.967420517890773,1.0397348011665797,1.5305854274953663,1.5704801098385655,44.422030108946316,48.49779052951931,41.49254236345112,47.492437239232956,-5.045561533174361,1.110720497392815
2025-07-23,46.45991031923281,44.49248980134204,-1.967420517890773,1.0397348011665797,1.5305854274953665,1.5704801098385655,44.422030108946316,48.49779052951931,41.49254236345112,47.492437239232956,-5.045561533174361,1.110720497392815
2025-07-24,46.55723273872975,44.44152225822245,-2.1157104805072997,1.1844490583053549,1.5462299552647418,1.7902348407973647,44.23571258445126,48.87875289300825,41.41091154590355,47.472132970541345,-5.624570768470134,1.393149807455535
2025-07-25,46.55723273872975,44.44152225822245,-2.1157104805072997,1.1844490583053549,1.5462299552647418,1.790234840797365,44.23571258445126,48.87875289300825,41.41091154590355,47.472132970541345,-5.624570768470135,1.3931498074555355
