end_date,approve,disapprove,net,approve_std,disapprove_std,net_std,approve_lower_ci,approve_upper_ci,disapprove_lower_ci,disapprove_upper_ci,net_lower_ci,net_upper_ci
2025-07-23,42.293175632379324,52.82927560950543,-10.536099977126106,1.2176174687365438,1.4382578841166298,2.4629235688727995,39.9066453936557,44.679705871102946,50.010290156636835,55.648261062374026,-15.363430172116793,-5.70876978213542
2025-07-24,42.38582147247954,52.73776265008162,-10.351941177602079,1.197398873376961,1.4111112665951724,2.4288583088688283,40.0389196806607,44.732723264298386,49.97198456755508,55.50354073260816,-15.112503462984982,-5.591378892219176
2025-07-25,42.385821472479535,52.73776265008161,-10.351941177602077,1.1973988733769607,1.4111112665951724,2.4288583088688283,40.03891968066069,44.73272326429838,49.971984567555076,55.50354073260815,-15.11250346298498,-5.591378892219174
2025-07-26,42.38582147247954,52.73776265008162,-10.351941177602079,1.1973988733769607,1.4111112665951724,2.4288583088688283,40.0389196806607,44.732723264298386,49.97198456755508,55.50354073260816,-15.112503462984982,-5.591378892219176
2025-07-27,42.22066267859587,52.72369430349122,-10.503031624895348,1.3062351566722101,1.3456158603978259,2.451758943611559,39.66044177151834,44.7808835856734,50.08628721711148,55.36110138987096,-15.308479154374004,-5.697584095416692
2025-07-28,42.02815411570829,52.83737922178965,-10.809225106081357,1.406460821989174,1.3457366755704503,2.5759667338692784,39.27149090460951,44.78481732680707,50.19973533767156,55.47502310590773,-15.858119904465141,-5.760330307697571
2025-07-29,41.84362863589683,52.99895244455009,-11.155323808653261,1.5184181664815843,1.429582954121476,2.795319828004371,38.86752902959292,44.81972824220073,50.196969854472,55.80093503462818,-16.63415067154183,-5.676496945764694
2025-07-30,41.6587404452603,53.19086756584148,-11.532127120581176,1.6100747107744715,1.5439508413019638,3.0214769821156406,38.50299401214234,44.81448687837826,50.16472391688963,56.21701121479333,-17.454222005527832,-5.61003223563452
2025-07-31,41.91884457574761,52.97300941874637,-11.05416484299876,1.5854967477220734,1.5011935578770705,2.972159242133675,38.81127095021235,45.02641820128288,50.03067004530731,55.91534879218543,-16.879596957580763,-5.228732728416758
2025-08-01,41.91884457574761,52.97300941874638,-11.054164842998762,1.5854967477220734,1.5011935578770705,2.972159242133675,38.81127095021235,45.02641820128288,50.03067004530732,55.91534879218544,-16.879596957580766,-5.22873272841676
2025-08-02,42.35849223132214,52.61306603136938,-10.254573800047243,1.8634440711946547,1.679782050844774,3.45535177916293,38.706141851780615,46.01084261086366,49.32069321171362,55.90543885102514,-17.027063287206587,-3.482084312887901
2025-08-03,42.52376477016596,52.53602791406101,-10.012263143895042,1.851024729889444,1.5909916317132973,3.355707943508731,38.89575629958265,46.15177324074927,49.417684315902946,55.65437151221907,-16.589450713172155,-3.4350755746179296
2025-08-04,42.47935886118816,52.58835551820479,-10.108996657016633,1.8121916761838786,1.566287026326236,3.295863660084845,38.92746317586776,46.03125454650856,49.51843294660537,55.65827808980421,-16.568889430782928,-3.649103883250336
2025-08-05,42.47935886118816,52.58835551820479,-10.108996657016633,1.8121916761838788,1.566287026326236,3.295863660084845,38.92746317586776,46.03125454650856,49.51843294660537,55.65827808980421,-16.568889430782928,-3.649103883250336
